word,result
ti.'fe,
ti.fo,
ti.'fo,
ti.sa,
ti.'sa,
ti.si,
ti.'si,
ti.su,
ti.'su,
ti.se,
ti.'se,
ti.so,
ti.'so,
ti.xa,
ti.'xa,
ti.xi,
ti.'xi,
ti.xu,
ti.'xu,
ti.xe,
ti.'xe,
ti.xo,
ti.'xo,
ti.ma,1
ti.'ma,
ti.mi,
ti.'mi,
ti.mu,
ti.'mu,
ti.me,1
ti.'me,1
ti.mo,1
ti.'mo,1
ti.na,
ti.'na,
ti.ni,
ti.'ni,
ti.nu,
ti.'nu,
ti.ne,1
ti.'ne,
ti.no,
ti.'no,
ti.ɲa,
ti.'ɲa,
ti.ɲi,
ti.'ɲi,
ti.ɲu,
ti.'ɲu,
ti.ɲe,1
ti.'ɲe,1
ti.ɲo,
ti.'ɲo,1
ti.ra,
ti.'ra,
ti.ri,
ti.'ri,
ti.ru,
ti.'ru,
ti.re,
ti.'re,
ti.ro,
ti.'ro,
ti.ʧa,
ti.'ʧa,
ti.ʧi,
ti.'ʧi,
ti.ʧu,
ti.'ʧu,
ti.ʧe,
ti.'ʧe,
ti.ʧo,
ti.'ʧo,
ti.ʝa,
ti.'ʝa,
ti.ʝi,
ti.'ʝi,
ti.ʝu,
ti.'ʝu,
ti.ʝe,
ti.'ʝe,
ti.ʝo,
ti.'ʝo,
ti.wa,
ti.'wa,
ti.wi,
ti.'wi,
ti.wu,
ti.'wu,
ti.we,
ti.'we,
ti.wo,
ti.'wo,
ti.la,1
ti.'la,
ti.li,
ti.'li,
ti.lu,
ti.'lu,
ti.le,
ti.'le,
ti.lo,
ti.'lo,
ti.ɾa,1
ti.'ɾa,
ti.ɾi,
ti.'ɾi,
ti.ɾu,
ti.'ɾu,
ti.ɾe,1
ti.'ɾe,1
ti.ɾo,1
ti.'ɾo,1
tu.pa,
tu.'pa,
tu.pi,
tu.'pi,
tu.pu,
tu.'pu,
tu.pe,
tu.'pe,
tu.po,
tu.'po,
tu.ta,
tu.'ta,
tu.ti,
tu.'ti,
tu.tu,
tu.'tu,
tu.te,
tu.'te,
tu.to,
tu.'to,
tu.ka,
tu.'ka,
tu.ki,
tu.'ki,
tu.ku,
tu.'ku,
tu.ke,
tu.'ke,
tu.ko,
tu.'ko,
tu.ba,1
tu.'ba,
tu.bi,
tu.'bi,
tu.bu,
tu.'bu,
tu.be,1
tu.'be,
tu.bo,1
tu.'bo,
tu.da,
tu.'da,
tu.di,
tu.'di,
tu.du,
tu.'du,
tu.de,
tu.'de,
tu.do,
tu.'do,
tu.ga,
tu.'ga,
tu.gi,
tu.'gi,
tu.gu,
tu.'gu,
tu.ge,
tu.'ge,
tu.go,
tu.'go,
tu.fa,
tu.'fa,
tu.fi,
tu.'fi,
tu.fu,
tu.'fu,
tu.fe,
tu.'fe,
tu.fo,
tu.'fo,
tu.sa,
tu.'sa,
tu.si,
tu.'si,
tu.su,
tu.'su,
tu.se,
tu.'se,
tu.so,
tu.'so,
tu.xa,
tu.'xa,
tu.xi,
tu.'xi,
tu.xu,
tu.'xu,
tu.xe,
tu.'xe,
tu.xo,
tu.'xo,
tu.ma,
tu.'ma,
tu.mi,
tu.'mi,
tu.mu,
tu.'mu,
tu.me,
tu.'me,
tu.mo,
tu.'mo,
tu.na,
tu.'na,
tu.ni,
tu.'ni,
tu.nu,
tu.'nu,
tu.ne,
tu.'ne,
tu.no,
tu.'no,
tu.ɲa,
tu.'ɲa,
tu.ɲi,
tu.'ɲi,
tu.ɲu,
tu.'ɲu,
tu.ɲe,
tu.'ɲe,
tu.ɲo,
tu.'ɲo,
tu.ra,
tu.'ra,
tu.ri,
tu.'ri,
tu.ru,
tu.'ru,
tu.re,
tu.'re,
tu.ro,
tu.'ro,
tu.ʧa,
tu.'ʧa,
tu.ʧi,
tu.'ʧi,
tu.ʧu,
tu.'ʧu,
tu.ʧe,
tu.'ʧe,
tu.ʧo,
tu.'ʧo,
tu.ʝa,1
tu.'ʝa,
tu.ʝi,
tu.'ʝi,
tu.ʝu,
tu.'ʝu,
tu.ʝe,
tu.'ʝe,
tu.ʝo,1
tu.'ʝo,
tu.wa,
tu.'wa,
tu.wi,
tu.'wi,
tu.wu,
tu.'wu,
tu.we,
tu.'we,
tu.wo,
tu.'wo,
tu.la,
tu.'la,
tu.li,
tu.'li,
tu.lu,
tu.'lu,
tu.le,
tu.'le,
tu.lo,
tu.'lo,
tu.ɾa,
tu.'ɾa,
tu.ɾi,
tu.'ɾi,
tu.ɾu,
tu.'ɾu,
tu.ɾe,
tu.'ɾe,
tu.ɾo,
tu.'ɾo,
te.pa,
te.'pa,
te.pi,
te.'pi,
te.pu,
te.'pu,
te.pe,
te.'pe,
te.po,
te.'po,
te.ta,1
te.'ta,
te.ti,
te.'ti,
te.tu,
te.'tu,
te.te,
te.'te,
te.to,
te.'to,
te.ka,
te.'ka,
te.ki,
te.'ki,
te.ku,
te.'ku,
te.ke,
te.'ke,
te.ko,
te.'ko,
te.ba,
te.'ba,
te.bi,
te.'bi,
te.bu,
te.'bu,
te.be,
te.'be,
te.bo,
te.'bo,
te.da,
te.'da,
te.di,
te.'di,
te.du,
te.'du,
te.de,
te.'de,
te.do,
te.'do,
te.ga,
te.'ga,
te.gi,
te.'gi,
te.gu,
te.'gu,
te.ge,
te.'ge,
te.go,
te.'go,
te.fa,
te.'fa,
te.fi,
te.'fi,
te.fu,
te.'fu,
te.fe,
te.'fe,
te.fo,
te.'fo,
te.sa,
te.'sa,
te.si,
te.'si,
te.su,
te.'su,
te.se,
te.'se,
te.so,
te.'so,
te.xa,
te.'xa,
te.xi,
te.'xi,1
te.xu,
te.'xu,
te.xe,1
te.'xe,1
te.xo,1
te.'xo,
te.ma,1
te.'ma,
te.mi,
te.'mi,1
te.mu,
te.'mu,
te.me,1
te.'me,1
te.mo,1
te.'mo,1
te.na,
te.'na,
te.ni,
te.'ni,1
te.nu,
te.'nu,
te.ne,
te.'ne,
te.no,
te.'no,
te.ɲa,
te.'ɲa,
te.ɲi,
te.'ɲi,1
te.ɲu,
te.'ɲu,
te.ɲe,
te.'ɲe,
te.ɲo,
te.'ɲo,
te.ra,1
te.'ra,
te.ri,
te.'ri,
te.ru,
te.'ru,
te.re,
te.'re,
te.ro,
te.'ro,
te.ʧa,
te.'ʧa,
te.ʧi,
te.'ʧi,
te.ʧu,
te.'ʧu,
te.ʧe,
te.'ʧe,
te.ʧo,
te.'ʧo,
te.ʝa,
te.'ʝa,
te.ʝi,
te.'ʝi,
te.ʝu,
te.'ʝu,
te.ʝe,
te.'ʝe,
te.ʝo,
te.'ʝo,
te.wa,
te.'wa,
te.wi,
te.'wi,
te.wu,
te.'wu,
te.we,
te.'we,
te.wo,
te.'wo,
te.la,1
te.'la,
te.li,
te.'li,
te.lu,
te.'lu,
te.le,1
te.'le,
te.lo,
te.'lo,
te.ɾa,
te.'ɾa,
te.ɾi,
te.'ɾi,
te.ɾu,
te.'ɾu,
te.ɾe,
te.'ɾe,
te.ɾo,
te.'ɾo,
to.pa,
to.'pa,
to.pi,
to.'pi,
to.pu,
to.'pu,
to.pe,1
to.'pe,
to.po,1
to.'po,
to.ta,
to.'ta,
to.ti,
to.'ti,
to.tu,
to.'tu,
to.te,
to.'te,
to.to,
to.'to,
to.ka,1
to.'ka,
to.ki,
to.'ki,
to.ku,
to.'ku,
to.ke,1
to.'ke,1
to.ko,1
to.'ko,
to.ba,
to.'ba,
to.bi,
to.'bi,
to.bu,
to.'bu,
to.be,
to.'be,
to.bo,
to.'bo,
to.da,1
to.'da,
to.di,
to.'di,
to.du,
to.'du,
to.de,
to.'de,
to.do,1
to.'do,
to.ga,1
to.'ga,
to.gi,
to.'gi,
to.gu,
to.'gu,
to.ge,
to.'ge,
to.go,
to.'go,
to.fa,
to.'fa,
to.fi,
to.'fi,
to.fu,1
to.'fu,
to.fe,
to.'fe,
to.fo,
to.'fo,
to.sa,1
to.'sa,
to.si,
to.'si,1
to.su,
to.'su,
to.se,1
to.'se,1
to.so,1
to.'so,
to.xa,
to.'xa,
to.xi,
to.'xi,
to.xu,
to.'xu,
to.xe,
to.'xe,
to.xo,
to.'xo,
to.ma,1
to.'ma,
to.mi,
to.'mi,
to.mu,
to.'mu,
to.me,
to.'me,1
to.mo,1
to.'mo,1
to.na,
to.'na,
to.ni,
to.'ni,
to.nu,
to.'nu,
to.ne,
to.'ne,
to.no,1
to.'no,
to.ɲa,
to.'ɲa,
to.ɲi,
to.'ɲi,
to.ɲu,
to.'ɲu,
to.ɲe,
to.'ɲe,
to.ɲo,
to.'ɲo,
to.ra,
to.'ra,
to.ri,
to.'ri,
to.ru,
to.'ru,
to.re,1
to.'re,
to.ro,
to.'ro,1
to.ʧa,
to.'ʧa,
to.ʧi,
to.'ʧi,
to.ʧu,
to.'ʧu,
to.ʧe,
to.'ʧe,
to.ʧo,
to.'ʧo,
to.ʝa,
to.'ʝa,
to.ʝi,
to.'ʝi,
to.ʝu,
to.'ʝu,
to.ʝe,
to.'ʝe,
to.ʝo,
to.'ʝo,
to.wa,
to.'wa,
to.wi,
to.'wi,
to.wu,
to.'wu,
to.we,
to.'we,
to.wo,
to.'wo,
to.la,
to.'la,
to.li,
to.'li,
to.lu,
to.'lu,
to.le,
to.'le,
to.lo,
to.'lo,
to.ɾa,
to.'ɾa,
to.ɾi,
to.'ɾi,
to.ɾu,
to.'ɾu,
to.ɾe,
to.'ɾe,
to.ɾo,1
to.'ɾo,
ka.pa,1
ka.'pa,
ka.pi,
ka.'pi,
ka.pu,
ka.'pu,
ka.pe,
ka.'pe,
ka.po,
ka.'po,
ka.ta,
ka.'ta,
ka.ti,
ka.'ti,
ka.tu,
ka.'tu,
ka.te,
ka.'te,
ka.to,
ka.'to,
ka.ka,1
ka.'ka,
ka.ki,
ka.'ki,
ka.ku,
ka.'ku,
ka.ke,
ka.'ke,
ka.ko,
ka.'ko,
ka.ba,
ka.'ba,
ka.bi,
ka.'bi,
ka.bu,
ka.'bu,
ka.be,1
ka.'be,
ka.bo,1
ka.'bo,
ka.da,1
ka.'da,
ka.di,
ka.'di,
ka.du,
ka.'du,
ka.de,
ka.'de,
ka.do,
ka.'do,
ka.ga,1
ka.'ga,
ka.gi,
ka.'gi,
ka.gu,
ka.'gu,
ka.ge,1
ka.'ge,1
ka.go,1
ka.'go,1
ka.fa,
ka.'fa,
ka.fi,
ka.'fi,
ka.fu,
